Brand Name,Product Name,Rating,Rating Count,Selling Price,MRP,Offer
OLEVS,Watches for Men Chronograph Business Wrist Watches Analog Quartz Moon Phase Stainless Steel Waterproof Luminous Dress Watches,3.8 out of 5 stars,"2,984",£28.97,£37.05,(22% off)
Fossil,"Machine Brown Automatic Leather Watch Me3254 - Analog, Men",5.0 out of 5 stars,7,£199.45,na,na
TIMEWEAR,Analog New Track Day Date Functioning Leather Strap Watch for Men,3.6 out of 5 stars,592,£3.60,£14.24,(75% off)
Fire-Boltt,"Fire-Boltt Phoenix Pro Smart Watch 1.39 inch Bluetooth Calling, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Black)",3.9 out of 5 stars,"81,935",£18.99,£113.99,(83% off)
TIMEX,"Leather Classics Men's Quartz Analog Champagne Dial Round Case 3 Hands Function Watch -A301, Dial_Gold, Band_Black",4.1 out of 5 stars,433,£8.30,£8.50,(2% off)
Sonata,Quartz Analog with Date Black Dial Watch for Men-NS77105NM01,4.1 out of 5 stars,13,£16.86,na,na
Fastrack,Analog Grey Dial Men's Watch-FV30004QM01W,5.0 out of 5 stars,1,£17.01,£24.32,(30% off)
Carlington,Endurance Series Analog-Digital Wrist Watches for Men - CT_9145,4.0 out of 5 stars,23,£12.34,£66.49,(81% off)
Fire-Boltt,"Fire-Boltt Ring X Smartwatch 2.01” Display with Always On Display, Bluetooth Calling, Wireless Charging, AI Voice Assistant, 100+ Sports Modes, Health Suite, 500+ Watchfaces (Blue S)",3.9 out of 5 stars,"5,095",£12.82,£94.99,(87% off)
Redmi,"Redmi Watch 5 Active, 2 Display, Metal Body, 18 Day Battery, Bluetooth Calling, Advanced AI Noise Cancellation, Alexa, Black",4.0 out of 5 stars,331,£19.47,£47.49,(59% off)
Fastrack,Vyb Pioneer Quartz Analog Black Dial Watch for Men,3.8 out of 5 stars,17,£15.12,£21.61,(30% off)
